,Adaptor,Rounder,Plausible_shields,Attribute_shields
美网,,1.0,,
法网,,1.0,,
明年,,1.0,,
1月16日,,1.0,,
1月1日,,1.0,,
青春风暴,,1.0,,
史上最年轻的,,1.0,,
长达,,2.0,,
首个,,3.0,,
第一个,,1.0,,
当天,,1.0,,
三个,,3.0,,
一/4,,1.0,,
一超五,,1.0,,
意外,,1.0,,
小组赛,,1.0,,
一方面,,1.0,,
另一方面,,1.0,,
包括,,1.0,,
等,,3.0,,
目前,,2.0,,
尚未,,1.0,,
能,,2.0,,
独当一面,,1.0,,
年轻,,1.0,,
单项,,1.0,,
竞争力不足,,1.0,,
短板,,1.0,,
接力,,1.0,,
阵容厚度,,1.0,,
一年后,,1.0,,
以上,,1.0,,
各类,,1.0,,
左右,,2.0,,
数以百万计,,1.0,,
都能,,1.0,,
曾经,,1.0,,
一部分,,1.0,,
更广泛,,1.0,,
大规模,,1.0,,
2022年,,1.0,,
强调,,1.0,,
而且,,1.0,,
前后,,1.0,,
多,,2.0,,
今日,,1.0,,
不久,,1.0,,
连续,,4.0,,
几个小时,,1.0,,
一位,,1.0,,2.0
一双,,1.0,,
再次,,3.0,,
大约,,2.0,,
范围,,1.0,,
最后一年,,1.0,,
短暂,,1.0,,
每一天,,1.0,,
0-4,,1.0,,
近期,,1.0,,
大不如从前,,1.0,,
最低,,1.0,,
最高,,1.0,,
上午,,1.0,,
持续,,1.0,,
每个,,2.0,,
当日,,1.0,,
三场,,1.0,,
逐步,,1.0,,
接下来,,1.0,,
越来越,,1.0,,
太大,,1.0,,
此次,,1.0,,
上个月及本月初,,1.0,,
6月19日,,1.0,,
整个,,2.0,,
已经,,2.0,,1.0
尽管,,1.0,,1.0
以0：5,,1.0,,
以小组第二身份,,1.0,,
3：2,,1.0,,
三对,,1.0,,
分别,,1.0,,
除了,,1.0,,1.0
还有,,1.0,,
第一位,,1.0,,
一枚,,1.0,,
多名,,1.0,,
各自,,1.0,,
最后一次,,2.0,,
自2003年以来,,1.0,,
每届,,1.0,,
过去12届,,1.0,,
过去22届,,1.0,,
过去15届,,1.0,,
最近22届,,1.0,,
主要,,1.0,,
一哥,,1.0,,
一届,,1.0,,
而,,1.0,,
几分钟后,,1.0,,
整整,,1.0,,
迄今,,1.0,,
从未,,1.0,,
差一点,,1.0,,
此前,,2.0,,2.0
在对阵埃及和丹麦的比赛中,,1.0,,
刚刚,,2.0,,
像这样的,,1.0,,
所有,,2.0,,1.0
全力以赴,,1.0,,
极为,,1.0,,
半天,,1.0,,
近六个赛季,,1.0,,
今天凌晨,,2.0,,
有望,,1.0,,1.0
近来,,1.0,,
已,,1.0,,
已完成,,1.0,,
还未,,1.0,,
之前,,1.0,,
在经验和底蕴上,,1.0,,
第二阶段,,1.0,,
最新一期,,1.0,,
多次,,3.0,,
去年,,1.0,,
最好的,,1.0,,
最后一轮,,1.0,,
以5:0大胜,,1.0,,
有段时间,,1.0,,
第一场,,1.0,,
第三个,,2.0,,
充分,,1.0,,
一次,,1.0,,
这个行为,,1.0,,
很显然,,1.0,,
可以选择,,1.0,,
多个,,1.0,,
如果,,1.0,,
的话,,1.0,,
知名,,1.0,,
某些,,1.0,,
在此前,,1.0,,
一整个,,1.0,,
以来,,1.0,,
次,,2.0,,
两回合,,1.0,,
当年,,1.0,,
当赛季,,1.0,,
很小,,1.0,,
有希望,,1.0,,
比,,2.0,,
大比分,,1.0,,
险些,,1.0,1.0,
前两节,,1.0,,
末节,,1.0,,
今晚,,2.0,,
中午,,3.0,,
四方会议,,1.0,,
不到,,2.0,,
1年,,1.0,,
第31轮,,1.0,,
第12分钟,,1.0,,
第24分钟,,1.0,,
下半场刚开始1分钟,,1.0,,
共,,2.0,,
上一次,,1.0,,
两周前,,1.0,,
赛后,,1.0,,4.0
四个,,1.0,,
以总分,,1.0,,1.0
两届,,1.0,,
其他的,,1.0,,
三种,,1.0,,
整套,,2.0,,
随后,,1.0,,
近日,,2.0,,
第六次,,1.0,,
上月底,,1.0,,
第6次,,1.0,,
个人,,1.0,,
最大的,,2.0,,
近乎,,1.0,,
三届,,1.0,,
一生,,1.0,,
未来,,1.0,,
现在,,1.0,,
前一天,,1.0,,
最后一个,,1.0,,
下午,,1.0,,
早些时候,,1.0,,
最快,,1.0,,
第二个,,1.0,,
第四个,,1.0,,
就有两名,,1.0,,
整场,,1.0,,
极强,,1.0,,
整个过程,,1.0,,
瞬间,,1.0,,
晚,,1.0,,
有威胁的,,1.0,,
当地时间,,3.0,,2.0
将近,,1.0,,
抵达,,1.0,,
全世界,,1.0,,
八万名,,1.0,,
有史以来,,1.0,,
昨天,,1.0,,
本月底,,1.0,,
年底,,1.0,,
此后,,1.0,,
有可能,,1.0,,
依然,,1.0,,
仅,,3.0,,
更是,,1.0,,
第四场,,1.0,,
最后18秒,,1.0,,
首场,,1.0,,
那场,,1.0,,
过去,,1.0,,
两场,,1.0,,
2月,,1.0,,
全场,,1.0,,
第一节,,1.0,,
全都,,1.0,,
此后三节,,1.0,,
轻易,,1.0,,
弱侧,,1.0,,
最后阶段,,1.0,,
最后半节,,1.0,,
之后,,2.0,,
再,,1.0,,
以至于,,1.0,,
可以考虑,,1.0,,
也可以理解,,1.0,,
前天,,1.0,,
不知多少次,,1.0,,
有点像,,1.0,,
当然,,1.0,,
第四站,,1.0,,
稍早,,1.0,,
很高,,1.0,,
后半段,,2.0,,
接连,,1.0,,
除开,,1.0,,
过多,,1.0,,
两组,,1.0,,
一组,,1.0,,
两次,,1.0,,
在9.1-9.5之间,,1.0,,
一些,,1.0,,
有漂亮的,,1.0,,
幸好,,1.0,,
小,,1.0,,
最后的,,1.0,,
再度,,1.0,,
22日,,2.0,,
前瞻,,1.0,,
很少,,1.0,,
一段时间,,1.0,,
一人,,1.0,,
看起来,,1.0,,
大不相同,,1.0,,
至,,1.0,,
后,,1.0,,
两周后,,1.0,,
不止,,1.0,,
使得,,1.0,,
对,,1.0,,
年,,1.0,,
连续第二年,,1.0,,
将在,,1.0,,
举行,,1.0,,
不少,,2.0,,
经常,,1.0,,
或许,,1.0,,
热烈,,1.0,,
这么多,,1.0,,
中,,1.0,,
新增,,1.0,,
第一次,,1.0,,
不多,,1.0,,
直接,,1.0,,
两个小时,,1.0,,
原计划中,,1.0,,
一轮,,1.0,,
比起,,1.0,,
今天,,1.0,,
大多,,1.0,,
十几次,,1.0,,
首站,,1.0,,
每一轮,,1.0,,
自始至终,,1.0,,
更好,,1.0,,
一场,,1.0,,
还将,,1.0,,
最多,,1.0,,
一点点,,1.0,,
２００,,1.0,,
４００,,1.0,,
１５００,,1.0,,
多数,,,1.0,
好像,,,2.0,
似的,,,2.0,
报道说,,,1.0,1.0
据预测,,,1.0,
有美媒分析称,,,1.0,
也有人认为,,,1.0,
透露,,,1.0,2.0
据透露,,,1.0,
尚待敲定,,,1.0,
传言,,,1.0,
一定要,,,1.0,
被国际足联暂时取消了世界排名,,,1.0,
不确定,,,1.0,
报道称,,,1.0,3.0
很大,,,1.0,
因,,,1.0,
据悉,,,1.0,1.0
好奇,,,1.0,
被指出,,,1.0,
人们不禁猜测,,,1.0,
虽然,,,1.0,1.0
但是,,,1.0,
决定,,,1.0,
评论称,,,,1.0
凭借,,,,1.0
公布,,,,1.0
WTA官网认为,,,,1.0
可以说,,,,1.0
韩媒,,,,1.0
其中,,,,2.0
归化入中国籍的,,,,1.0
韩联社称,,,,1.0
报道中,,,,1.0
韩联社曾评价称,,,,1.0
国际滑联官网评论称,,,,1.0
外媒,,,,1.0
报道援引,,,,1.0
报道指出,,,,1.0
之一,,,,1.0
冬奥会,,,,1.0
制定了,,,,1.0
该地区,,,,1.0
寻求,,,,1.0
保护和突出其工业历史,,,,1.0
不是用推土机将它推平,,,,1.0
于华说,,,,1.0
相关负责同志和开闭幕式主创团队成员,,,,1.0
总导演张艺谋感慨道,,,,1.0
张艺谋说,,,,2.0
常宇说,,,,2.0
习近平总书记在考察2022年冬奥会、冬残奥会筹办备赛工作时曾,,,,1.0
王志鸥表示,,,,1.0
王志鸥、张玲玲介绍,,,,1.0
报道,,,,9.0
她说,,,,1.0
陈梦说道,,,,1.0
所说,,,,1.0
《丹佛邮报》,,,,1.0
声援,,,,1.0
安切洛蒂说,,,,1.0
皇马官方发表声明称,,,,1.0
巴西总统卢拉,,,,1.0
西班牙首相桑切斯,,,,1.0
路易斯·鲁比亚莱斯,,,,1.0
特巴斯,,,,1.0
记者会上说,,,,1.0
西甲主席,,,,1.0
ESPN称,,,,1.0
女单争夺中,,,,1.0
女双赛场,,,,1.0
樊振东说,,,,1.0
宣布,,,,1.0
阿根廷媒体和中国媒体,,,,1.0
中新社,,,,1.0
直言,,,,1.0
被誉为,,,,1.0
赛后表示,,,,1.0
特约记者,,,,2.0
中国队,,,,1.0
马龙,,,,1.0
王楚钦,,,,1.0
梁靖崑,,,,1.0
林高远,,,,1.0
樊振东,,,,1.0
男单,,,,1.0
奥林匹克官网日前称,,,,1.0
据统计,,,,1.0
奥林匹克官网称,,,,4.0
日本媒体,,,,1.0
乒乓球王国称,,,,1.0
预计,,,,1.0
被,,,,1.0
工作人员,,,,1.0
同事,,,,1.0
球迷,,,,1.0
有网友表示,,,,1.0
欧烜屹也说,,,,1.0
女生,,,,1.0
现场的,,,,1.0
曼城主帅,,,,1.0
瓜迪奥拉,,,,1.0
坦言,,,,1.0
如此评价,,,,1.0
根据,,,,1.0
公布的,,,,1.0
分入,,,,1.0
同,,,,1.0
中新社苏州5月17日电,,,,1.0
记者,,,,2.0
苏迪曼杯世界羽毛球混合团体锦标赛,,,,1.0
韩国队,,,,1.0
日本队,,,,1.0
小组头名,,,,1.0
八强,,,,1.0
承认,,,,1.0
认为,,,,1.0
各方面,,,,1.0
尤为,,,,1.0
安洗莹强调,,,,1.0
她认为,,,,1.0
安洗莹说,,,,1.0
科尔表示,,,,3.0
媒体曝光后,,,,1.0
科尔对此说,,,,1.0
科尔说,,,,1.0
经纪人,,,,1.0
勇士队,,,,1.0
后者,,,,1.0
球队老板,,,,1.0
发表,,,,1.0
数据显示,,,,1.0
我想,,,,1.0
我们都希望,,,,1.0
据外媒报道称,,,,1.0
记者称,,,,1.0
经纪人扎哈维,,,,1.0
巴萨,,,,1.0
梅西,,,,1.0
财政公平原则,,,,1.0
内马尔,,,,1.0
巴黎,,,,1.0
切尔西,,,,1.0
2017年,,,,1.0
2.22亿欧元,,,,1.0
来源,,,,2.0
里弗斯说,,,,2.0
马祖拉也说,,,,1.0
塔图姆说,,,,1.0
队友布朗说,,,,1.0
斯玛特说,,,,1.0
主帅马祖拉说,,,,1.0
消息称,,,,1.0
日本共同社报道称,,,,1.0
资料图,,,,1.0
国际奥委会,,,,1.0
消息,,,,1.0
央视网,,,,1.0
卡斯特利亚诺斯表示,,,,1.0
曾,,,,1.0
周知方的节目音乐是,,,,1.0
华裔,,,,2.0
北京,,,,1.0
他表示,,,,1.0
陈巍曾表示,,,,1.0
他,,,,2.0
自己,,,,1.0
中新网,,,,1.0
主席巴赫,,,,1.0
挪威选手,,,,1.0
本场比赛,,,,1.0
德国选手,,,,1.0
赛道医生,,,,1.0
美国选手,,,,1.0
意大利选手,,,,1.0
奥地利名将,,,,1.0
人民日报,,,,1.0
在英国官方代表团成员的注视下,,,,1.0
克莱格说,,,,1.0
约翰逊说,,,,1.0
京华时报,,,,1.0
在张亚东看来,,,,1.0
孙杨认为,,,,1.0
表示,,,,4.0
确认了,,,,1.0
送给,,,,1.0
幸存,,,,1.0
中国留学生,,,,1.0
常规赛MVP的,,,,1.0
晒出,,,,1.0
配文,,,,1.0
发生在,,,,1.0
就读于,,,,1.0
是,,,,1.0
得知,,,,1.0
主动与,,,,1.0
还邀请,,,,1.0
哈登说,,,,1.0
勒布朗赛后说,,,,1.0
讯,,,,1.0
划重点：,,,,1.0
爆冷,,,,1.0
在电影《安娜.卡列宁娜》恢弘凄婉的原声中，,,,,1.0
俄罗斯新秀图尔斯卡娅,,,,1.0
贡献了,,,,1.0
令人赏心悦目的,,,,1.0
出色的,,,,1.0
很有,,,,1.0
IC photo,,,,1.0
以卫冕冠军的身份出战,,,,1.0
的目标是,,,,1.0
接受采访时,,,,1.0
的对手,,,,1.0
来自,,,,1.0
也将,,,,1.0
获得,,,,3.0
参加,,,,1.0
环球时报记者,,,,1.0
环球时报特约记者,,,,1.0
今日俄罗斯电视台,,,,1.0
荣誉主席瓦连京佩谢耶夫称,,,,1.0
获颁,,,,1.0
留下,,,,1.0
让人,,,,1.0
谢尔巴科娃曝光,,,,1.0
谢尔巴科娃近日在社交平台上发布的视频中,,,,1.0
她还曝光了自己的闺房,,,,1.0
自己还有作业要写,,,,1.0
播放了,,,,1.0
新华网,,,,1.0
国际雪联,,,,1.0
克林根塔尔站,,,,1.0
女子,,,,1.0
奥地利选手,,,,1.0
中国选手,,,,1.0
赛事组委会决定,,,,1.0
李雪尧赛后接受记者采访时表示,,,,1.0
李雪尧说,,,,1.0
据介绍,,,,1.0
杨昊在赛后说道,,,,1.0
电,,,,1.0
孙杨说,,,,1.0
教练给的任务,,,,1.0
