,Adaptor,Rounder,Plausible_shields,Attribute_shields
expected to,,1.0,,
closely-watched,,1.0,,
greatest,,1.0,,
of all time,,1.0,,1.0
next,,1.0,,
minutes later,,1.0,,
five,,1.0,,
four,,1.0,,
seven,,1.0,,
a decade ago,,1.0,,
much,,1.0,1.0,
late,,2.0,,
two years ago,,1.0,,
plenty,,1.0,,
even,,2.0,2.0,
latest,,1.0,,
earlier this month,,1.0,,
for the 2021 Games,,1.0,,
at the Euro 2021 championships,,1.0,,
up to,,1.0,,
most recent,,1.0,,
each,,1.0,,
solely,,1.0,,
not every,,1.0,,
for example,,1.0,,
same year,,1.0,,
following year,,1.0,,
rare,,1.0,1.0,
string of,,1.0,,
last season,,1.0,,
two points,,1.0,,
six off,,1.0,,
33,,1.0,,
before,,2.0,1.0,1.0
10 minutes,,1.0,,
72nd,,1.0,,
opening minutes,,1.0,,
near the end,,1.0,,
too much,,1.0,,
flashes,,1.0,,
hopefully,,1.0,1.0,
as possible,,1.0,,
consistent,,1.0,,
not having someone game-ready,,1.0,,
expected,,1.0,4.0,
instant,,1.0,,
new,,1.0,1.0,
once more,,1.0,,
at the time of her double Olympic triumph,,1.0,,
after,,1.0,1.0,2.0
no less than,,1.0,,
bound,,,1.0,
prove,,,1.0,
wouldn't,,,1.0,
unpredictable,,,1.0,
it was,,,1.0,
questioned,,,1.0,1.0
doubt,,,1.0,
Will,,,1.0,
according to,,,5.0,35.0
in theory,,,1.0,
reportedly,,,3.0,1.0
worth,,,1.0,
something,,,1.0,
nobody,,,2.0,
believe,,,3.0,
understand,,,1.0,
accused,,,4.0,
were accused,,,1.0,
has also drawn,,,1.0,
will be held,,,1.0,
think,,,13.0,
said,,,23.0,31.0
don't know,,,2.0,
nagging,,,1.0,
he said,,,1.0,2.0
evidently,,,1.0,
we've usually been investing,,,1.0,
we are really really happy,,,1.0,
may,,,6.0,
worries,,,1.0,
would,,,8.0,
won't,,,1.0,
declined,,,1.0,
might,,,5.0,
hope,,,1.0,
can,,,7.0,
isn't,,,3.0,
concerns,,,1.0,
has,,,2.0,3.0
found,,,1.0,
announced,,,1.0,1.0
plans,,,1.0,
indicate,,,1.0,
was,,,2.0,2.0
is,,,3.0,
they,,,2.0,1.0
unclear,,,1.0,
it feels like,,,1.0,
would be,,,2.0,
had been,,,1.0,
didn't,,,3.0,
rather than,,,1.0,
not just,,,1.0,
everything that I know of her is,,,1.0,
will begin,,,1.0,
right after,,,1.0,
aren't,,,3.0,
surrounding,,,1.0,
going to depend,,,1.0,
truly,,,2.0,
not fully sure,,,1.0,
shows,,,1.0,
I think,,,8.0,
felt,,,2.0,
satisfied,,,1.0,
were waiting,,,1.0,
fair to say,,,1.0,
could have predicted,,,1.0,
even the idea of,,,1.0,
would have been historic,,,1.0,
while,,,1.0,
more seasoned,,,1.0,
such as,,,1.0,
confounded expectations,,,1.0,
soon,,,1.0,
began,,,1.0,
questioning,,,1.0,
should,,,6.0,
he has been working with,,,1.0,
Do you know,,,1.0,
puts on your shoulders,,,1.0,
you're running for everyone,,,1.0,
weighs on you,,,1.0,
So you have to create,,,1.0,
listen to everything,,,1.0,
only absorb what you need,,,1.0,
I lacked was that,,,1.0,
I was always afraid,,,1.0,
I used to say,,,1.0,
if I don't run well,,,1.0,
what will those people write,,,1.0,
what will those people think,,,1.0,
no surprise,,,1.0,
described,,,1.0,
true,,,1.0,
knows,,,1.0,
same,,,1.0,
learned,,,2.0,
asking,,,2.0,
will,,,8.0,
but,,,1.0,
look,,,1.0,
how can we,,,1.0,
we can,,,1.0,
gives,,,1.0,
opportunity,,,1.0,
create,,,2.0,
reimagine,,,1.0,
contemporize,,,1.0,
including,,,1.0,
haven't really,,,1.0,
We're giving,,,1.0,
hoping,,,2.0,
Why do I keep,,,1.0,
baffled,,,1.0,
must,,,1.0,
depends,,,1.0,
outlining,,,1.0,
We know,,,1.0,
We also know,,,1.0,
so far,,,1.0,1.0
affectionately,,,1.0,
whirlwind,,,1.0,
frequently,,,1.0,
Questions,,,1.0,
whether,,,2.0,
mum,,,1.0,
simple,,,1.0,
It doesn't really matter,,,1.0,
other,,,1.0,1.0
people,,,1.0,
are,,,1.0,
happy,,,2.0,
because,,,2.0,1.0
feel,,,6.0,
I,,,2.0,
am,,,1.0,
doing,,,1.0,
my,,,2.0,
best,,,2.0,
I'm,,,2.0,
enjoying,,,1.0,
the,,,2.0,
process,,,1.0,
and,,,2.0,2.0
using,,,1.0,1.0
voice,,,1.0,
to,,,3.0,
positive,,,1.0,
change,,,1.0,
for,,,1.0,1.0
voices,,,1.0,
who,,,2.0,1.0
listen,,,1.0,
me,,,2.0,
in,,,1.0,
an,,,1.0,
area,,,1.0,
that,,,1.0,
personal,,,1.0,1.0
relevant,,,1.0,
myself,,,1.0,
finds,,,1.0,
decided,,,1.0,
didn't explain,,,1.0,
agrees,,,1.0,
have been,,,1.0,
due to,,,2.0,
may be,,,1.0,
waiting,,,1.0,
no,,,1.0,1.0
not-so-happy,,,1.0,
subsequent,,,1.0,
limbo,,,1.0,
yet,,,2.0,
told,,,7.0,6.0
couldn't,,,1.0,
should've,,,2.0,
wasn't,,,1.0,
missed out,,,1.0,
seemingly,,,1.0,
says,,,9.0,1.0
lacked,,,1.0,
declared,,,1.0,
was made,,,1.0,
knowingly,,,1.0,
thought,,,4.0,
fair,,,1.0,
objective,,,1.0,
independent,,,1.0,
sure,,,1.0,
frankly,,,1.0,
those of us who have been fighting,,,1.0,
we knew,,,1.0,
say,,,2.0,
I have to be honest,,,1.0,
heard,,,2.0,
assuming,,,1.0,
try,,,1.0,
committed,,,1.0,
knew,,,1.0,
surprised,,,1.0,
I don't know,,,1.0,
became,,,3.0,
which was won,,,1.0,
wanted,,,2.0,
reasons,,,1.0,
everything,,,1.0,
until now,,,1.0,
Critics argued,,,1.0,
making it unfair,,,1.0,
proved anti-climactic,,,1.0,
some of her rivals,,,1.0,
There are no questions about,,,1.0,
considered,,,1.0,
spoken,,,1.0,
saying,,,1.0,
experiencing,,,1.0,
allow,,,1.0,
knowing,,,2.0,
optimism,,,1.0,
trying,,,2.0,
poor,,,1.0,
extended to,,,1.0,
single,,,1.0,
outside,,,1.0,
low-key,,,1.0,
called,,,1.0,
helped,,,1.0,
I guess,,,1.0,
right,,,1.0,
who was,,,1.0,
to win,,,1.0,
referring,,,1.0,
I was like,,,1.0,
I'm just,,,1.0,
I'm grateful,,,1.0,
laughing,,,1.0,
always,,,3.0,
can't,,,1.0,1.0
unlikely,,,1.0,
charged,,,1.0,
slowly-run,,,1.0,
trademark,,,1.0,
had to,,,1.0,
felt like,,,1.0,
didn't even care,,,1.0,
would never,,,1.0,
supposed,,,2.0,
so many times,,,1.0,
looked,,,3.0,
failed,,,1.0,
determined,,,1.0,
honestly,,,2.0,
because of,,,1.0,
everyone,,,1.0,
not before,,,1.0,
know,,,2.0,
hard,,,1.0,
claimed,,,1.0,2.0
although,,,1.0,
was declared,,,1.0,
appeared,,,3.0,
looks like,,,2.0,
was just,,,1.0,
herself,,,1.0,
talked,,,1.0,
subject to,,,1.0,
for choosing,,,1.0,
was celebrated,,,1.0,
supported,,,1.0,
let her guard down,,,1.0,
traditionally,,,1.0,
equalling,,,1.0,
unexpectedly,,,1.0,
not many,,,1.0,
aware,,,2.0,
ignoring,,,1.0,
I knew,,,1.0,
astonishing,,,1.0,
upset,,,1.0,
defending,,,1.0,1.0
it's not,,,1.0,
following,,,1.0,1.0
hasn't,,,1.0,
keeping,,,1.0,
seizing,,,1.0,
caught up,,,1.0,
with far-reaching repercussions,,,1.0,
imposed,,,1.0,
tampering,,,1.0,
highly,,,1.0,
cannot,,,1.0,
sought,,,1.0,
compromise,,,1.0,
compete,,,1.0,
negotiated,,,1.0,
judged,,,1.0,
have deemed,,,1.0,
argues,,,1.0,
are being punished,,,1.0,
accusations,,,1.0,
denounced,,,1.0,
wrote,,,1.0,
didn't take long,,,1.0,
variety of,,,1.0,
aligned with,,,1.0,
made its way,,,1.0,
recent,,,1.0,1.0
in a very Russian paradox,,,1.0,
encouraged,,,1.0,
conceding,,,1.0,
pressure,,,1.0,
living up to,,,1.0,
left,,,1.0,
no other choice,,,1.0,
future,,,1.0,
participation,,,1.0,
in limbo,,,1.0,
definitely,,,1.0,
have to,,,1.0,
seemed,,,1.0,
going to,,,1.0,
were,,,2.0,
I know,,,1.0,
suspected,,,1.0,
starts,,,1.0,
wants,,,1.0,
remains,,,1.0,
competing,,,1.0,
burst,,,1.0,
supposed to,,,1.0,
everybody else,,,1.0,
weren't supposed to,,,1.0,
doesn't,,,1.0,
I don't want to use,,,1.0,
remember,,,1.0,
It was,,,1.0,
despite,,,1.0,
won't be allowed,,,1.0,
recognise,,,1.0,
intends,,,1.0,
effort,,,1.0,
require,,,1.0,
According to,,,1.0,
comment,,,1.0,
argue,,,1.0,
sees,,,1.0,
arguing,,,1.0,
tried,,,1.0,
suggestion,,,1.0,
demanded,,,1.0,
garnering,,,1.0,
decision,,,1.0,
even though,,,1.0,
maybe,,,1.0,
wonder,,,1.0,
haven't,,,1.0,
had become,,,1.0,
normally,,,1.0,
Predictably,,,1.0,
unable,,,1.0,
several times,,,1.0,
concern,,,1.0,
helping,,,1.0,
achieve,,,1.0,
immense,,,1.0,
incredible,,,1.0,
expressed,,,1.0,
had trouble,,,1.0,
more likely,,,1.0,
crucial,,,1.0,
well-placed,,,1.0,
stunning,,,1.0,
could be given,,,1.0,
tempting,,,1.0,
certain,,,1.0,
showed,,,2.0,
why,,,1.0,
making,,,1.0,
creating,,,1.0,
can be,,,1.0,
excited,,,1.0,
hopes,,,1.0,
the hard way,,,1.0,
wound up,,,1.0,
as much as,,,1.0,
element,,,1.0,
confident,,,1.0,
seems,,,1.0,
Due to,,,1.0,
well beyond her years,,,1.0,
It was reported that,,,,2.0
reported,,,,1.0
named,,,,1.0
it's appeared,,,,1.0
when asked,,,,1.0
he added,,,,1.0
everyone affiliated with Team LIV,,,,1.0
which was,,,,1.0
rest of the golfing world,,,,1.0
owned by,,,,1.0
one of LIV's most well-known players,,,,1.0
ostensibly,,,,1.0
in the context of,,,,1.0
given,,,,1.0
reigning,,,,2.0
surprise,,,,1.0
Italian,,,,1.0
personal-best,,,,1.0
Olympic,,,,1.0
born,,,,1.0
moved,,,,1.0
was asked,,,,1.0
Magnani wrote,,,,1.0
The Associated Press,,,,1.0
the IOC plans,,,,1.0
the sport's governing body,,,,1.0
an investigation,,,,1.0
formerly known as,,,,1.0
stated,,,,1.0
which,,,,3.0
with,,,,4.0
pass,,,,1.0
started,,,,1.0
else,,,,1.0
once,,,,1.0
who had been,,,,1.0
than,,,,1.0
other than,,,,1.0
by,,,,1.0
he has created,,,,1.0
he,,,,1.0
him,,,,1.0
Donovan said,,,,1.0
invited,,,,1.0
Solomon said,,,,2.0
Associated Press reports,,,,1.0
NBC says,,,,1.0
NBCUniversal's Peacock streaming service will have,,,,1.0
marked,,,,1.0
termed,,,,1.0
Tirico also,,,,1.0
held,,,,1.0
is said,,,,1.0
is pictured,,,,1.0
Is,,,,1.0
of Qatar Al-Duhail.Al-Hilal,,,,1.0
in February's semifinals.,,,,1.0
was born to,,,,1.0
chose to represent,,,,1.0
official,,,,1.0
whose,,,,1.0
from Japan,,,,1.0
of Canada,,,,1.0
the Russian team,,,,1.0
Russian,,,,2.0
Tygart said,,,,1.0
Rusada,,,,1.0
last month,,,,1.0
it's,,,,1.0
noted,,,,1.0
is set for,,,,1.0
Harden said,,,,1.0
whom,,,,1.0
acknowledges,,,,1.0
the player told,,,,1.0
the club website,,,,1.0
reflected,,,,1.0
the player posted,,,,1.0
the Canadian expressed,,,,1.0
legend Carl Lewis,,,,1.0
British,,,,1.0
world champion,,,,1.0
silver medallist,,,,1.0
American,,,,1.0
reporters,,,,2.0
domestic media reported,,,,1.0
it is reported/assumed that,,,,1.0
the first American to do so since,,,,1.0
"If Dutchwoman Hassan is going to bag her remarkable treble, nobody can say she had it easy as she began the day by falling on the last lap of her 1,500 metres heat, only to spring up and charge through the field to finish first.",,,,1.0
had made,,,,1.0
was little consolation for,,,,1.0
double defending,,,,1.0
where,,,,1.0
taken,,,,1.0
of,,,,2.0
his,,,,1.0
her,,,,1.0
their,,,,6.0
country's,,,,1.0
put him level with,,,,1.0
through a translator,,,,1.0
France head coach John Dovi said,,,,1.0
Aliev's protest is just the latest chapter,,,,1.0
won,,,,1.0
surpassing,,,,1.0
matched,,,,1.0
tied,,,,1.0
long-standing,,,,1.0
Sunday's,,,,1.0
has become associated with,,,,1.0
In an Olympic first,,,,1.0
Just,,,,1.0
she said,,,,2.0
had already,,,,1.0
was crowned,,,,1.0
carved out,,,,1.0
to claim,,,,1.0
It was reported,,,,1.0
swept,,,,1.0
saw,,,,1.0
winning,,,,1.0
had,,,,1.0
WADA,,,,1.0
Russian team,,,,1.0
Court of Arbitration for Sport,,,,1.0
IOC,,,,1.0
athletes,,,,1.0
ROC,,,,1.0
Russian flag,,,,1.0
by the IOC,,,,1.0
by Western commentators,,,,1.0
by Megan Kalmoe,,,,1.0
by Pozdnyakov,,,,1.0
former,,,,2.0
the country's,,,,1.0
a celebrity TV presenter,,,,1.0
the head producer at Match TV,,,,1.0
Russia's,,,,1.0
of the state energy company Gazprom,,,,1.0
State-run,,,,1.0
foreign minister,,,,1.0
a scholar,,,,1.0
author,,,,1.0
spokesperson for,,,,1.0
for the Russian foreign ministry,,,,1.0
labelled,,,,1.0
he told Reuters,,,,1.0
applauded,,,,1.0
offer,,,,1.0
ranked,,,,1.0
at the 1936 Berlin Games,,,,1.0
in 2018 with an Asian Games gold,,,,1.0
she told reporters,,,,1.0
France coach Vincent Collet said,,,,1.0
of the United States was,,,,1.0
determined by,,,,1.0
The team had approached,,,,1.0
it's a stark reminder,,,,1.0
when athletic uniform regulations are devised,,,,1.0
The International Olympic Committee (IOC),,,,1.0
published by,,,,1.0
they defended,,,,1.0
the organisation decided,,,,1.0
Asked,,,,1.0
having played,,,,1.0
when they lost,,,,1.0
It's my first season,,,,1.0
It is said that,,,,1.0
coach Vlatko Andonovski said,,,,1.0
she also represented,,,,1.0
with the university,,,,1.0
she said afterwards,,,,1.0
